volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality
0.915,0.0,2.1,0.0409999999999999,17.0,0.99346,3.68,0.73,11.4,5
0.35,0.33,2.4,0.076,11.0,0.99599,3.27,0.81,11.0,6
0.39,0.43,1.65,0.068,5.0,0.99478,3.19,0.46,11.4,5
0.66,0.07,1.6,0.07,16.0,0.99572,3.29,0.6,9.3,5
0.64,0.23,2.1,0.08,11.0,0.99538,3.36,0.7,10.9,5
0.955,0.05,1.8,0.075,5.0,0.99616,3.3,0.44,9.6,4
0.4,0.57,4.6,0.08,6.0,0.99652,3.28,0.57,12.5,6
0.885,0.0,2.3,0.166,6.0,0.99551,3.56,0.51,10.8,5
0.25,0.37,2.5,0.063,11.0,0.99439,3.52,0.8,12.4,7
0.745,0.12,1.8,0.114,15.0,0.99588,3.22,0.59,9.5,6
0.43,0.22,1.8,0.078,21.0,0.99633,3.52,0.6,9.5,6
0.57,0.21,1.5,0.069,4.0,0.99458,3.16,0.54,9.8,6
0.26,0.26,2.0,0.052,19.0,0.9951,3.15,0.79,10.9,6
0.58,0.23,2.3,0.076,23.0,0.99686,3.21,0.58,9.5,6
0.34,0.36,1.9,0.065,5.0,0.99419,3.27,0.54,11.2,7
0.42,0.39,1.8,0.068,6.0,0.99516,3.35,0.69,11.7,8
0.74,0.19,5.8,0.111,33.0,0.99878,3.14,0.55,9.4,5
0.36,0.46,2.1,0.074,24.0,0.99534,3.4,0.85,11.0,7
0.72,0.55,1.7,0.136,24.0,0.99752,3.35,0.94,10.0,5
0.39,0.43,2.0,0.071,14.0,0.99428,3.45,0.87,11.2,7
0.65,0.02,2.1,0.078,8.0,0.99498,3.35,0.62,10.4,6
0.33,0.46,1.9,0.081,6.0,0.99628,3.1,0.48,10.4,6
0.57,0.31,2.0,0.079,10.0,0.99677,3.29,0.69,9.5,6
0.39,0.4,1.3,0.044,25.0,0.99478,3.2,0.83,10.9,6
0.32,0.52,1.8,0.132,17.0,0.99734,3.28,0.77,11.5,6
0.39,0.49,2.5,0.08,8.0,0.9992,3.07,0.82,10.3,6
0.46,0.23,2.6,0.091,18.0,0.99922,3.15,0.51,9.4,5
0.58,0.03,4.1,0.08,27.0,0.99592,3.02,0.47,9.2,5
0.58,0.25,2.0,0.104,8.0,0.99769,3.27,0.72,9.6,5
0.42,0.0,1.8,0.044,18.0,0.99157,3.68,0.73,13.6,7
0.43,0.29,2.1,0.075,19.0,0.99718,3.4,0.64,9.5,5
0.18,0.34,2.7,0.066,15.0,0.9947,3.37,0.78,11.8,6
0.815,0.01,2.6,0.074,48.0,0.99621,3.38,0.62,10.8,5
0.75,0.01,2.2,0.059,11.0,0.99242,3.39,0.4,12.8,6
0.55,0.0,1.7,0.07,7.0,0.99659,3.26,0.64,9.4,6
0.73,0.0,2.5,0.081,12.0,0.99798,3.38,0.46,9.6,4
0.67,0.0,4.3,0.057,11.0,0.99488,3.45,0.56,11.8,4
0.61,0.2,1.7,0.076,36.0,0.99494,3.1,0.4,9.3,5
0.56,0.22,2.4,0.0819999999999999,10.0,0.9983,3.37,0.62,9.5,5
0.55,0.19,1.8,0.0819999999999999,15.0,0.99655,3.49,0.68,10.5,5
0.74,0.07,1.7,0.086,15.0,0.99502,3.12,0.48,10.0,5
0.6,0.01,2.3,0.079,24.0,0.99514,3.4,0.61,10.9,6
0.58,0.14,2.2,0.077,27.0,0.9963,3.28,0.59,9.8,5
0.72,0.0,1.8,0.123,6.0,0.99627,3.45,0.58,9.8,5
0.66,0.0,1.4,0.096,6.0,0.99569,3.43,0.58,9.5,5
0.7,0.06,1.9,0.079,20.0,0.99628,3.4,0.69,10.9,5
0.59,0.22,1.8,0.0819999999999999,43.0,0.99499,3.1,0.42,9.2,5
0.58,0.28,4.8,0.085,12.0,0.99633,3.32,0.7,11.0,6
0.64,0.0,2.7,0.123,15.0,0.99538,3.44,0.63,11.3,6
0.635,0.68,1.8,0.4029999999999999,19.0,0.99632,3.02,1.15,9.3,5
1.02,0.0,2.0,0.083,17.0,0.99437,3.59,0.55,11.2,4
0.45,0.38,2.5,0.081,34.0,0.99726,3.15,0.58,9.8,5
0.37,0.32,1.8,0.066,26.0,0.99456,3.38,0.72,11.8,6
0.57,0.05,2.3,0.081,16.0,0.99564,3.38,0.6,10.3,6
0.43,0.5,2.3,0.068,13.0,0.996,3.1,0.87,11.4,6
0.41,0.31,2.0,0.079,21.0,0.99668,3.47,0.55,9.5,6
0.44,0.2,1.6,0.049,24.0,0.9935,3.38,0.57,11.7,6
0.46,0.0,1.9,0.077,25.0,0.99385,3.5,0.53,11.2,5
0.58,0.2,2.0,0.073,34.0,0.99494,3.1,0.43,9.3,5
0.58,0.13,2.1,0.102,17.0,0.9944,3.24,0.53,11.2,6
0.715,0.22,2.3,0.075,13.0,0.99688,3.24,0.54,9.5,6
0.4,0.4,6.3,0.05,3.0,0.99566,3.28,0.56,12.0,4
0.69,0.0,1.9,0.114,3.0,0.99636,3.35,0.6,9.7,6
0.3,0.39,1.7,0.062,3.0,0.9948,3.14,0.57,11.5,7
0.46,0.2,1.9,0.077,28.0,0.9956,3.37,0.64,10.4,6
0.765,0.0,2.0,0.084,9.0,0.99619,3.33,0.68,10.9,6
0.63,0.28,2.7,0.096,17.0,0.99734,3.26,0.63,10.2,6
0.42,0.19,2.3,0.071,18.0,0.99476,3.39,0.56,10.9,5
0.37,0.5,1.8,0.09,20.0,0.99734,3.15,0.57,10.5,5
0.6,0.3,4.5,0.068,20.0,0.99914,3.3,1.17,10.2,5
0.74,0.0,1.9,0.1,6.0,0.99521,3.36,0.59,11.0,5
0.635,0.1,2.1,0.073,25.0,0.99638,3.29,0.75,10.9,6
0.395,0.13,2.4,0.0559999999999999,14.0,0.99362,3.62,0.67,12.4,6
0.63,0.0,4.3,0.093,51.0,0.99558,3.2,0.45,9.5,5
0.53,0.14,2.1,0.064,15.0,0.99323,3.35,0.61,12.1,6
0.6,0.0,1.4,0.063,11.0,0.99191,3.45,0.56,12.2,6
0.86,0.07,2.0,0.1,20.0,0.99598,3.6,0.74,11.7,6
0.37,0.32,2.1,0.064,4.0,0.99576,3.3,0.8,11.2,6
0.79,0.21,2.3,0.087,21.0,0.9955,3.12,0.44,9.2,5
0.61,0.26,1.9,0.073,24.0,0.99612,3.3,0.53,9.8,5
0.69,0.32,2.5,0.088,22.0,0.9979,3.29,0.62,10.1,5
0.62,0.1,1.4,0.071,27.0,0.996,3.28,0.61,9.2,5
0.51,0.15,3.0,0.064,12.0,0.9929,3.33,0.59,12.8,6
0.63,0.27,2.0,0.083,17.0,0.99616,3.26,0.58,9.8,6
0.76,0.68,1.7,0.414,18.0,0.99652,2.9,1.33,9.1,6
0.34,0.42,1.8,0.0579999999999999,9.0,0.99392,3.18,0.55,11.4,5
0.46,0.24,1.7,0.077,18.0,0.9948,3.39,0.6,10.6,6
0.52,0.11,1.8,0.073,13.0,0.9955,3.34,0.52,9.3,5
0.6,0.26,2.1,0.083,17.0,0.99616,3.29,0.56,9.8,6
0.87,0.26,3.8,0.107,31.0,0.99668,3.26,0.46,9.2,5
0.39,0.1,1.7,0.075,6.0,0.99581,3.09,0.43,9.7,6
0.775,0.22,2.2,0.079,12.0,0.9976,3.18,0.51,9.6,5
0.835,0.0,2.0,0.166,4.0,0.99608,3.39,0.52,10.0,5
0.58,0.02,2.4,0.069,19.0,0.99387,3.38,0.66,12.6,6
0.5,0.0,1.4,0.057,15.0,0.99448,3.36,0.45,9.5,5
0.51,0.02,1.7,0.084,13.0,0.99538,3.36,0.54,10.5,6
0.42,0.48,2.6,0.077,8.0,0.99852,3.09,0.53,11.0,5
0.44,0.24,2.3,0.063,10.0,0.99613,3.25,0.53,10.2,6
0.59,0.01,2.1,0.0559999999999999,5.0,0.99472,3.52,0.56,11.4,5
0.655,0.03,1.8,0.078,7.0,0.99587,3.34,0.39,9.5,5
0.62,0.01,2.3,0.065,8.0,0.99332,3.32,0.51,11.8,6
0.645,0.03,1.9,0.086,14.0,0.9969,3.37,0.46,10.3,5
0.32,0.25,1.8,0.086,5.0,0.99464,3.36,0.44,10.1,5
0.34,0.25,1.8,0.084,4.0,0.99464,3.36,0.44,10.1,5
0.43,0.24,2.5,0.078,27.0,0.99648,3.6,0.59,11.1,6
0.475,0.4,1.4,0.091,6.0,0.99704,3.07,0.65,10.0333333333333,6
0.85,0.14,2.5,0.093,13.0,0.99724,3.36,0.54,10.1,5
0.605,0.02,1.9,0.096,10.0,0.995,3.46,0.53,11.8,6
0.74,0.08,1.7,0.094,10.0,0.99576,3.24,0.5,9.8,5
0.54,0.3,2.2,0.088,9.0,0.99725,3.25,1.18,10.5,6
0.77,0.32,2.1,0.079,16.0,0.99656,3.27,0.5,9.8,6
0.58,0.56,3.1,0.153,5.0,0.99476,3.21,1.03,11.6,6
0.885,0.2,1.4,0.086,7.0,0.9946,3.11,0.46,10.0,5
0.45,0.15,2.0,0.078,10.0,0.99609,3.29,0.51,9.9,6
0.57,0.02,2.6,0.077,11.0,0.99557,3.36,0.62,10.8,6
0.6,0.22,2.1,0.08,25.0,0.99613,3.3,0.49,9.9,5
0.755,0.15,1.8,0.107,20.0,0.99593,3.19,0.5,9.5,5
0.81,0.25,3.4,0.076,34.0,0.99668,3.19,0.42,9.2,5
0.64,0.07,1.8,0.1,8.0,0.9961,3.3,0.58,9.6,5
0.64,0.31,6.1,0.083,7.0,0.99718,3.35,0.68,10.3,5
0.49,0.0,2.3,0.068,15.0,0.99292,3.58,0.59,12.5,6
0.64,0.22,2.4,0.094,5.0,0.99612,3.37,0.58,11.0,5
0.62,0.06,1.3,0.07,5.0,0.9942,3.17,0.48,9.8,5
0.52,0.25,2.0,0.078,19.0,0.99612,3.3,0.48,10.2,5
0.685,0.1,1.6,0.092,3.0,0.99745,3.31,0.65,9.55,6
0.675,0.1,1.6,0.09,4.0,0.99745,3.31,0.65,9.55,5
0.59,0.26,2.0,0.08,17.0,0.99584,3.28,0.52,9.9,5
0.67,0.0,2.2,0.068,10.0,0.9956,3.42,0.72,11.1,6
0.69,0.21,2.1,0.08,33.0,0.9962,3.25,0.51,9.9,5
0.3,0.42,2.0,0.052,6.0,0.9963,3.44,0.82,11.9,6
0.33,0.33,1.7,0.061,3.0,0.996,3.23,1.1,10.0,8
0.5,0.39,2.6,0.0819999999999999,12.0,0.9985,3.43,0.62,10.7,6
0.24,0.34,5.1,0.062,8.0,0.9974,3.22,0.94,10.9,6
0.51,0.0,2.1,0.064,40.0,0.995,3.54,0.93,10.7,6
0.29,0.36,2.2,0.048,35.0,0.995,3.27,1.01,12.4,7
0.96,0.0,1.8,0.0819999999999999,5.0,0.9936,3.5,0.44,11.9,6
0.47,0.4,2.4,0.071,8.0,0.9963,3.56,0.73,10.6,6
0.57,0.25,2.0,0.104,12.0,0.9963,3.04,0.9,10.1,5
0.32,0.59,2.2,0.077,3.0,0.9994,3.2,0.78,9.6,5
0.58,0.0,1.6,0.065,8.0,0.9966,3.56,0.84,9.4,5
0.34,0.33,2.5,0.064,21.0,0.9952,3.35,0.77,12.1,7
0.53,0.01,1.6,0.077,3.0,0.995,3.16,0.46,9.8,5
0.64,0.21,2.2,0.077,32.0,0.9956,3.27,0.45,9.9,5
0.4,0.18,1.6,0.079,24.0,0.9965,3.34,0.58,9.4,5
0.54,0.0,2.1,0.079,39.0,0.9956,3.39,0.84,11.4,6
0.53,0.09,3.9,0.123,14.0,0.9968,3.5,0.67,11.0,4
0.41,0.33,2.5,0.078,6.0,0.9957,3.3,0.58,11.2,5
0.64,0.0,1.9,0.072,27.0,0.9962,3.31,0.63,11.0,5
0.18,0.4,2.2,0.049,38.0,0.996,3.33,0.93,11.3,5
0.41,0.24,1.8,0.066,18.0,0.9956,3.37,0.62,10.4,5
0.43,0.31,2.1,0.069,13.0,0.9958,3.26,0.54,9.9,6
0.4,0.16,1.8,0.069,11.0,0.9955,3.42,0.74,10.1,7
0.38,0.38,1.6,0.1689999999999999,27.0,0.99914,3.15,0.65,8.5,5
0.915,0.29,4.8,0.07,15.0,0.99577,3.53,0.54,11.1,5
0.59,0.0,1.7,0.052,3.0,0.996,3.41,0.47,10.3,5
0.67,0.02,2.2,0.072,31.0,0.99566,3.32,0.68,11.066666666666698,6
0.58,0.2,1.75,0.0579999999999999,8.0,0.99322,3.38,0.49,11.7,5
0.785,0.19,5.2,0.094,19.0,0.99713,3.16,0.52,9.6,6
0.67,0.0,1.9,0.08,22.0,0.99701,3.4,0.74,9.7,5
0.38,0.31,2.0,0.0559999999999999,15.0,0.99472,3.23,0.76,11.3,8
0.37,0.32,2.0,0.062,15.0,0.9947,3.23,0.73,11.3,7
0.32,0.44,2.7,0.104,8.0,0.99732,3.33,0.78,11.0,7
0.58,0.02,2.0,0.062,37.0,0.99374,3.35,0.76,11.6,7
0.45,0.63,2.2,0.073,7.0,0.99974,3.21,0.69,10.9,6
0.9,0.0,1.6,0.052,9.0,0.99467,3.5,0.63,10.9,6
0.49,0.33,1.9,0.074,27.0,0.99706,3.41,0.58,9.0,5
0.29,0.4,1.7,0.067,8.0,0.99603,3.39,0.6,10.5,5
0.2,0.35,1.7,0.054,7.0,0.99458,3.32,0.8,11.9,7
0.42,0.09,2.3,0.054,34.0,0.99724,3.41,0.68,10.4,6
0.785,0.0,2.1,0.06,6.0,0.99664,3.59,0.61,10.0,4
0.63,0.01,2.4,0.076,14.0,0.99522,3.34,0.53,10.8,6
0.59,0.1,1.7,0.063,34.0,0.9958,3.41,0.67,9.7,5
0.48,0.32,2.1,0.062,31.0,0.99728,3.3,0.65,10.0,7
1.04,0.08,2.3,0.067,19.0,0.99648,3.52,0.57,11.0,4
0.98,0.05,2.1,0.061,20.0,0.99705,3.31,0.55,9.7,3
0.69,0.11,1.4,0.084,8.0,0.99578,2.88,0.47,9.7,5
0.7,0.08,3.75,0.067,8.0,0.99334,3.43,0.52,12.6,5
0.35,0.6,2.6,0.073,23.0,0.99656,3.38,0.79,11.1,6
0.6,0.08,1.8,0.071,14.0,0.99336,3.38,0.54,11.0,5
0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.566666666666698,7
0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.6,7
0.875,0.05,5.7,0.0819999999999999,3.0,0.99808,3.4,0.52,10.2,3
0.28,0.6,3.0,0.104,10.0,0.99828,3.39,0.68,10.6,5
0.62,0.03,1.5,0.08,6.0,0.99498,3.66,0.62,10.1,4
0.33,0.44,1.5,0.042,6.0,0.99542,3.35,0.61,10.7,5
0.655,0.16,2.1,0.074,8.0,0.99606,3.37,0.55,9.7,5
0.68,0.21,2.1,0.07,9.0,0.99546,3.38,0.6,10.3,5
0.64,0.05,1.9,0.066,9.0,0.99496,3.52,0.78,10.6,5
0.54,0.04,1.7,0.049,5.0,0.9942,3.72,0.58,11.4,5
0.22,0.49,1.8,0.039,8.0,0.99344,3.39,0.56,12.4,6
0.65,0.06,1.6,0.05,6.0,0.99348,3.57,0.54,11.95,5
0.54,0.26,1.9,0.089,23.0,0.99636,3.26,0.59,9.7,5
0.31,0.09,1.4,0.066,15.0,0.99459,3.42,0.7,10.0,7
0.43,0.02,1.9,0.08,15.0,0.99492,3.35,0.81,10.6,6
0.74,0.03,2.3,0.054,7.0,0.99508,3.45,0.63,11.5,6
0.82,0.29,4.3,0.083,21.0,0.99642,3.16,0.53,9.4,5
0.44,0.39,2.5,0.077,6.0,0.99555,3.51,0.69,11.0,6
0.38,0.57,2.3,0.106,5.0,0.99605,3.36,0.55,11.4,6
0.76,0.02,1.8,0.078,6.0,0.996,3.55,0.63,9.95,3
0.81,0.05,2.0,0.07,6.0,0.99562,3.51,0.66,10.8,6
0.27,0.6,2.1,0.074,17.0,0.99814,3.38,0.72,10.6,6
0.18,0.4,1.8,0.062,7.0,0.9941,3.28,0.7,11.1,5
0.36,0.21,2.2,0.047,26.0,0.99661,3.47,0.77,9.7,6
0.69,0.04,2.1,0.068,19.0,0.99712,3.44,0.67,9.8,5
0.84,0.21,4.1,0.074,16.0,0.99842,3.53,0.72,9.23333333333333,6
0.84,0.21,4.1,0.074,16.0,0.99842,3.53,0.72,9.25,6
0.53,0.06,2.0,0.063,29.0,0.99489,3.38,0.83,10.3,6
0.47,0.46,2.2,0.114,7.0,0.99647,3.32,0.63,10.5,5
0.7,0.08,2.6,0.106,14.0,0.99665,3.44,0.58,10.2,5
0.32,0.25,2.3,0.071,23.0,0.99633,3.42,0.97,10.6,5
0.48,0.25,2.0,0.076,29.0,0.9953,3.34,0.6,10.4,5
0.48,0.08,2.1,0.064,18.0,0.99552,3.33,0.64,9.7,5
0.47,0.08,2.2,0.064,18.0,0.99553,3.3,0.65,9.6,6
0.29,0.49,2.2,0.096,21.0,0.99714,3.31,0.67,10.1,6
0.69,0.08,2.1,0.063,42.0,0.99608,3.42,0.6,10.2,6
0.44,0.09,2.2,0.063,9.0,0.99444,3.42,0.69,11.3,6
0.705,0.1,2.8,0.081,13.0,0.99631,3.6,0.66,10.2,5
0.53,0.13,2.0,0.0579999999999999,18.0,0.99573,3.21,0.68,9.9,6
0.39,0.3,1.9,0.074,32.0,0.99717,3.39,0.61,9.0,5
0.56,0.14,2.4,0.064,13.0,0.99397,3.42,0.62,11.7,7
0.55,0.13,2.2,0.075,15.0,0.9959,3.36,0.59,9.7,6
0.64,0.09,2.5,0.081,15.0,0.99538,3.57,0.63,12.0,5
0.52,0.08,4.4,0.071,11.0,0.99646,3.56,0.63,11.6,6
0.37,0.43,2.3,0.063,12.0,0.9955,3.17,0.81,11.2,7
0.63,0.33,1.8,0.059,16.0,0.99531,3.36,0.64,10.1,6
0.57,0.02,2.0,0.072,17.0,0.99575,3.36,0.61,10.2,5
0.4,0.5,2.0,0.099,19.0,0.99783,3.1,0.58,10.4,5
0.36,0.3,1.8,0.074,17.0,0.99419,3.24,0.7,11.4,8
0.67,0.0,2.3,0.083,18.0,0.99768,3.44,0.54,9.4,5
0.68,0.01,3.7,0.103,32.0,0.99586,3.51,0.66,11.3,6
0.735,0.0,2.2,0.08,18.0,0.99765,3.41,0.6,9.4,5
0.56,0.17,1.7,0.065,15.0,0.99514,3.44,0.68,10.55,7
0.88,0.04,2.2,0.066,12.0,0.99636,3.53,0.56,9.9,5
0.855,0.02,2.4,0.062,15.0,0.99627,3.54,0.6,11.0,6
0.6,0.26,2.0,0.08,31.0,0.99622,3.21,0.52,9.9,5
0.695,0.13,2.0,0.076,12.0,0.99546,3.29,0.54,10.1,5
0.67,0.02,1.9,0.061,26.0,0.99489,3.39,0.82,10.9,6
0.16,0.64,2.1,0.059,24.0,0.99494,3.34,0.71,11.2,6
0.56,0.13,1.6,0.077,25.0,0.99629,3.34,0.59,9.2,5
0.51,0.14,1.9,0.0559999999999999,15.0,0.99396,3.48,0.57,11.5,6
0.36,0.53,2.2,0.23,19.0,0.9934,3.37,0.93,12.4,6
0.38,0.14,2.2,0.038,15.0,0.99514,3.44,0.65,11.1,6
0.69,0.32,2.2,0.069,35.0,0.99632,3.33,0.51,9.5,5
0.58,0.2,2.4,0.075,15.0,0.99467,3.58,0.67,12.5,6
0.52,0.4,2.2,0.06,12.0,0.99474,3.26,0.64,11.8,6
0.3,0.63,1.6,0.081,16.0,0.99588,3.3,0.78,10.8,6
0.7,0.15,5.1,0.076,13.0,0.99622,3.54,0.6,11.9,6
0.67,0.15,1.8,0.118,13.0,0.9954,3.42,0.67,11.3,6
0.35,0.33,2.4,0.068,9.0,0.9947,3.36,0.6,11.9,6
0.715,0.1,2.6,0.053,13.0,0.99362,3.57,0.5,11.9,5
0.46,0.29,2.1,0.074,32.0,0.99578,3.33,0.62,9.8,5
0.32,0.44,2.4,0.061,24.0,0.99484,3.29,0.8,11.6,7
0.31,0.41,2.4,0.065,34.0,0.99492,3.34,0.85,11.4,6
0.61,0.11,1.8,0.066,18.0,0.99483,3.55,0.66,10.9,6
0.55,0.15,1.8,0.077,26.0,0.99314,3.32,0.82,11.6,6
0.74,0.09,1.7,0.089,16.0,0.99402,3.67,0.56,11.6,6
0.51,0.13,2.3,0.076,29.0,0.99574,3.42,0.75,11.0,6
0.62,0.08,1.9,0.068,28.0,0.99651,3.42,0.82,9.5,6
0.6,0.08,2.0,0.09,32.0,0.9949,3.45,0.58,10.5,5
0.55,0.1,2.2,0.062,39.0,0.99512,3.52,0.76,11.2,6
0.645,0.12,2.0,0.075,32.0,0.99547,3.57,0.71,10.2,5
0.29,0.27,2.23,0.05783087325918524,13.6,0.99495,3.42,0.85,13.407608421823738,7
0.477,0.39,2.46,0.09136902267002943,24.9,0.99834,3.16,0.6,9.052058151647755,5
0.415,0.0,1.96,0.09085197148803219,10.8,0.99443,3.44,0.52,11.130127961317301,6
0.801,0.05,1.8,0.07240411505272958,5.5,0.99489,3.4,0.48,12.685778080188063,6
0.483,0.07,1.79,0.06473604485970189,13.0,0.99586,3.17,0.66,10.789039199563378,6
0.359,0.43,1.52,0.0780987670757609,6.0,0.99719,3.24,0.57,9.665559715493929,6
0.342,0.69,2.32,0.08700929025220805,7.0,0.99713,3.21,0.63,9.830553145588054,6
0.403,0.32,1.77,0.08617993461905818,7.9,0.99677,3.3,0.63,8.92259333902122,6
0.406,0.28,2.0,0.08034345707969781,5.8,0.99686,3.13,0.56,9.620066313292874,5
0.848,0.0,1.73,0.06509913063577974,4.2,0.99339,3.51,0.5,12.808694208114954,6
0.373,0.36,1.84,0.06671848052460934,5.0,0.99933,3.06,0.59,9.798142840039592,6
0.514,0.44,2.15,0.08112285227589784,3.8,1.00046,3.18,0.65,9.258650600800244,6
0.284,0.49,2.35,0.07291131252163151,4.9,0.99926,3.21,0.61,11.627118540796067,6
0.367,0.23,2.66,0.07411817919157707,14.6,0.99723,3.36,0.63,11.444836401883903,6
0.371,0.44,2.07,0.09496732887736896,7.3,0.99903,3.04,0.65,9.354205078842895,6
0.55,0.2,1.94,0.08344204291038368,15.2,0.99743,3.35,0.53,11.43880630605582,6
0.579,0.17,2.04,0.0813117312852492,5.6,0.99698,3.3,0.56,11.099422224415378,5
0.342,0.43,2.09,0.1006379383616496,6.0,0.99761,3.23,0.51,9.535626997540968,6
0.337,0.61,1.59,0.06379825276323361,7.3,0.99586,3.15,0.62,9.190757192763654,5
0.385,0.18,2.1,0.08318477958424035,6.6,0.99624,3.33,0.61,11.774369362640451,6
0.42,0.12,1.48,0.07141267015570804,7.0,0.99575,3.37,0.64,9.769388101107008,6
0.579,0.29,1.99,0.07153927748478658,29.7,0.99812,3.14,0.53,9.69718598389925,5
0.509,0.05,2.04,0.0566212098016854,6.7,0.99524,3.28,0.49,13.6,6
0.482,0.0,1.45,0.04644411854473146,15.9,0.99252,3.74,0.55,12.012364281593744,7
0.321,0.61,8.08,0.11780658655345236,8.0,1.00208,2.93,0.54,9.479576997368673,6
0.595,0.0,2.01,0.08359796891526214,14.3,0.99603,3.36,0.65,9.472758444309315,5
0.97,0.1,1.52,0.0756066236775038,6.6,0.99778,3.32,0.51,9.518445191770132,5
0.461,0.29,1.26,0.09073536415965254,3.5,0.99525,3.16,0.74,10.134769426586082,6
0.445,0.42,2.63,0.08771429615521399,18.1,0.99743,3.3,0.62,10.603217186928202,6
0.315,0.06,1.86,0.07555876322534738,14.6,0.99375,3.37,0.71,12.310579166812367,6
0.879,0.02,2.36,0.049816621469818204,14.7,0.99576,3.3,0.53,9.59023236593863,5
0.673,0.09,2.3,0.09365946779132904,9.2,0.99906,3.33,0.5,9.593768577910367,6
0.314,0.51,2.19,0.096199475952341,5.5,0.99902,3.24,0.52,9.597787156550456,5
0.545,0.06,1.62,0.06689086814086265,22.8,0.99725,3.34,0.55,10.001162180573626,6
0.272,0.28,1.53,0.08793247936682592,1.7,0.99552,3.31,0.66,11.237348787373515,6
0.45,0.21,2.16,0.08390737410934473,10.5,0.99722,3.13,0.52,9.637872531998815,5
0.399,0.23,2.44,0.06408270554148465,32.3,0.99528,3.08,0.57,9.441241779454622,5
0.317,0.28,2.12,0.11786264872480882,4.0,0.99888,3.23,0.91,12.20827066383577,7
0.308,0.34,1.98,0.0837494151752805,6.8,0.99859,3.1,0.58,12.156152426821423,5
0.379,0.01,1.69,0.07964995426410389,8.6,0.99634,3.38,0.48,11.720321683724968,6
0.518,0.02,2.07,0.06945416677426923,2.0,0.99606,3.21,0.5,11.222503858988567,6
0.226,0.19,1.75,0.06528954869835983,4.5,0.99702,3.23,0.56,11.144918995080463,6
0.441,0.45,2.24,0.1004609011618696,10.9,1.00111,3.18,0.6,9.24615975185402,5
1.019,0.15,2.03,0.08763092501174558,26.4,0.99675,3.24,0.67,9.152882652569344,5
0.749,0.29,2.24,0.07613101768266059,7.8,0.99723,3.08,0.47,9.538720743016988,5
0.599,0.11,2.35,0.0824550271937251,10.7,0.99768,3.29,0.64,8.880977102751592,5
0.365,0.36,2.35,0.08217101784477755,7.6,0.99792,3.25,0.61,9.197005749621066,5
0.377,0.56,2.08,0.12221901274831683,4.4,0.99885,3.08,0.61,9.671379370256204,5
0.494,0.03,2.0,0.08330158813892807,6.1,0.9979,3.26,0.46,9.793460603535147,5
0.392,0.34,2.45,0.07939081222012997,5.7,0.99859,2.96,0.56,9.169786695405856,5
0.568,0.3,1.82,0.08011564152023774,7.7,0.99795,3.16,0.54,8.742990345846616,5
0.383,0.28,1.93,0.07579333245586503,3.1,0.99949,3.24,0.54,9.58105866653303,6
0.605,0.0,2.18,0.06693516642701741,10.0,0.99678,3.35,0.55,9.54302243133476,5
0.411,0.17,1.81,0.08218710677368316,8.0,0.99562,3.33,0.58,12.590025063262692,6
0.687,0.17,2.4,0.09388052662735312,12.6,0.99772,3.36,0.52,9.5119063011352,5
0.277,0.09,2.12,0.07382093052306174,12.5,0.99528,3.46,0.61,11.754906204110332,6
0.439,0.07,2.03,0.06678753235061194,13.8,0.99423,3.39,0.6,11.989374741313584,6
0.56,0.0,2.0,0.08450779889897703,9.2,0.99418,3.4,0.53,11.712413190652473,5
0.518,0.03,1.58,0.08910723577784052,12.3,0.99746,3.37,0.66,9.966967321197545,6
0.512,0.3,1.92,0.07710681172070268,6.5,0.99649,3.24,0.49,9.960094899172203,5
0.285,0.24,1.67,0.06151742016800832,6.6,0.99471,3.13,0.64,11.630438942837815,6
0.495,0.29,2.3,0.07948047938019256,9.0,0.99634,3.28,0.56,9.130124854185352,6
0.395,0.34,2.03,0.09102914512553878,8.1,0.99625,3.25,0.63,11.860574643630747,6
0.276,0.26,2.14,0.07694685764078282,5.2,0.99406,3.17,0.67,12.716221011563846,6
0.438,0.42,2.5,0.08220994390122272,33.7,0.99819,3.14,0.52,9.711521695056813,6
0.558,0.0,1.6,0.09548175887456323,16.5,0.99587,3.38,0.61,10.004362181572997,6
0.832,0.22,2.11,0.0702486968295177,7.4,0.99788,3.21,0.63,9.164625805111617,5
0.634,0.05,2.23,0.08689362918583524,33.4,0.99852,3.32,0.46,9.71776327964325,5
0.359,0.41,2.02,0.08452036663781726,8.1,0.99474,3.26,0.57,10.724405837332917,6
0.298,0.27,2.26,0.08128265504822835,9.5,0.99741,3.3,0.63,11.030740305191381,5
0.522,0.61,2.29,0.09578919201126304,6.3,1.00064,3.03,0.64,9.628390686424384,5
0.474,0.17,1.57,0.07956457958465098,7.5,0.99681,3.29,0.62,9.22151232955642,5
0.634,0.1,2.06,0.09084792720548587,20.4,0.99494,3.36,0.6,11.476234061133233,6
0.414,0.47,2.16,0.08557852930048487,14.5,0.99961,3.19,0.6,9.128364478060533,5
0.691,0.05,2.68,0.07995045706901231,18.7,0.99648,3.42,0.49,10.812726494151834,6
0.315,0.57,2.83,0.09161389099140543,32.2,0.99877,3.17,0.65,9.656795054487706,6
